epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.05597,2.26884,4.41666,2.15065,0.33613,0.37195,0.26193,0.10474,2.15367,4.66987,2.20832,0.0001625,0.0001625,0.0001625
2,5.7375,2.01133,2.51752,1.6988,0.34836,0.38462,0.33367,0.12771,2.2339,2.91309,2.11258,0.000330818,0.000330818,0.000330818
3,8.32945,1.96843,2.06514,1.67528,0.35976,0.3486,0.28396,0.10132,2.31905,4.81232,2.25042,0.000492205,0.000492205,0.000492205
4,10.8324,1.91194,2.00523,1.66858,0.39175,0.36706,0.32386,0.13437,2.15483,9.75007,2.05981,0.000646662,0.000646662,0.000646662
5,13.4431,1.85591,1.87248,1.66102,0.69843,0.51182,0.55753,0.21714,2.25914,2.32766,2.23198,0.00079419,0.00079419,0.00079419
6,16.0553,1.82797,1.80757,1.6219,0.42445,0.45864,0.43585,0.14674,2.10936,2.16056,2.20205,0.000934788,0.000934788,0.000934788
7,18.4667,1.88586,1.65998,1.66498,0.43273,0.44151,0.40416,0.15434,2.17974,2.31119,2.37148,0.00106846,0.00106846,0.00106846
8,20.8285,1.89822,2.55753,1.7595,0.60301,0.46233,0.55578,0.20674,2.13002,2.39956,2.29677,0.00107675,0.00107675,0.00107675
9,23.2115,1.97528,1.82589,1.76486,0.54257,0.60573,0.55768,0.21367,2.17128,2.77952,2.29016,0.001052,0.001052,0.001052
10,25.6393,1.92643,1.72171,1.68785,0.76485,0.41325,0.53627,0.1966,2.14811,2.40614,2.30737,0.00102725,0.00102725,0.00102725
11,28.1388,1.76131,1.65527,1.67756,0.66057,0.58505,0.55477,0.2162,2.16555,1.92954,2.186,0.0010025,0.0010025,0.0010025
12,30.5745,1.7321,1.53979,1.64619,0.89125,0.46181,0.55289,0.20823,2.17467,1.92796,2.43669,0.00097775,0.00097775,0.00097775
13,33.1259,1.7228,1.42138,1.63077,0.55986,0.71163,0.67474,0.26323,2.0683,1.62709,2.23981,0.000953,0.000953,0.000953
14,35.6993,1.70531,1.34458,1.53344,0.61955,0.72076,0.67913,0.25599,1.96869,1.58436,2.00704,0.00092825,0.00092825,0.00092825
15,38.0962,1.76506,1.33025,1.60448,0.63855,0.54869,0.64953,0.27205,2.00139,1.4939,2.02405,0.0009035,0.0009035,0.0009035
16,40.6591,1.69906,1.28837,1.57809,0.7082,0.65759,0.71612,0.29122,1.99357,1.33762,2.04276,0.00087875,0.00087875,0.00087875
17,43.2682,1.72945,1.28013,1.57695,0.72991,0.65165,0.69155,0.28812,2.0463,1.56356,2.11323,0.000854,0.000854,0.000854
18,45.7709,1.64304,1.16341,1.51299,0.65405,0.60226,0.63103,0.26902,2.09392,1.48765,2.13854,0.00082925,0.00082925,0.00082925
19,48.1851,1.66843,1.30949,1.57383,0.66584,0.62607,0.65394,0.25366,2.19967,1.47853,2.17799,0.0008045,0.0008045,0.0008045
20,50.6861,1.60744,1.16179,1.49517,0.79927,0.6268,0.6686,0.29147,2.09013,1.56598,2.12898,0.00077975,0.00077975,0.00077975
21,53.2794,1.563,1.07428,1.49514,0.70488,0.6948,0.75295,0.2958,2.17545,1.45335,2.18109,0.000755,0.000755,0.000755
22,56.0966,1.54392,1.06306,1.50252,0.72416,0.69963,0.73858,0.32054,1.98426,1.39127,2.08593,0.00073025,0.00073025,0.00073025
23,58.7015,1.47683,0.98421,1.44751,0.72406,0.64698,0.73546,0.28453,2.04718,1.4972,2.21021,0.0007055,0.0007055,0.0007055
24,61.4031,1.48828,1.01031,1.42832,0.69963,0.74865,0.76285,0.27925,2.15238,1.33908,2.30574,0.00068075,0.00068075,0.00068075
25,63.9682,1.48923,1.0547,1.42031,0.73354,0.73072,0.7344,0.29298,2.1637,1.388,2.35963,0.000656,0.000656,0.000656
26,66.4805,1.44054,0.9665,1.42584,0.77089,0.63721,0.73573,0.28885,2.08206,1.35172,2.29627,0.00063125,0.00063125,0.00063125
27,68.8402,1.39144,0.93642,1.39479,0.80665,0.69341,0.73683,0.28441,2.1415,1.41753,2.30176,0.0006065,0.0006065,0.0006065
28,71.1019,1.33684,0.91818,1.41664,0.75468,0.68346,0.73765,0.3085,2.10975,1.34859,2.2532,0.00058175,0.00058175,0.00058175
29,73.6562,1.3363,0.86493,1.32883,0.74161,0.80618,0.79644,0.33352,2.11898,1.2026,2.27688,0.000557,0.000557,0.000557
30,76.4363,1.31644,0.84623,1.3561,0.74622,0.70061,0.76378,0.31493,2.1291,1.32166,2.35235,0.00053225,0.00053225,0.00053225
31,78.9476,1.34288,0.84723,1.33253,0.77273,0.67624,0.74619,0.30133,2.11144,1.2733,2.31861,0.0005075,0.0005075,0.0005075
32,81.548,1.30266,0.89474,1.39182,0.7688,0.68896,0.7489,0.31264,2.05861,1.32162,2.22183,0.00048275,0.00048275,0.00048275
33,84.112,1.23915,0.81049,1.27764,0.82346,0.74032,0.77533,0.32362,2.07073,1.3049,2.2231,0.000458,0.000458,0.000458
34,86.5851,1.21747,0.76256,1.32957,0.79729,0.73922,0.75306,0.32667,2.06602,1.22032,2.24684,0.00043325,0.00043325,0.00043325
35,88.8368,1.17493,0.75988,1.29754,0.82429,0.70896,0.75478,0.32717,2.04844,1.1604,2.2387,0.0004085,0.0004085,0.0004085
36,91.1767,1.16463,0.75724,1.27478,0.81177,0.73992,0.75194,0.32655,2.0769,1.22583,2.23903,0.00038375,0.00038375,0.00038375
37,93.5414,1.20215,0.77147,1.26348,0.79904,0.72589,0.74257,0.32011,2.17569,1.29201,2.35925,0.000359,0.000359,0.000359
38,96.0908,1.18514,0.76821,1.30199,0.86536,0.69583,0.7371,0.29909,2.25587,1.27578,2.45555,0.00033425,0.00033425,0.00033425
